			英語の本文(ここから翻訳される)	英語	アフリカーンス語	アルバニア語	アムハラ語	アラビア文字	アルメニア語	アゼルバイジャン語	バスク語	ベラルーシ語	ベンガル文字	ボスニア語	ブルガリア語	カタロニア語	中国語	中国語（簡体）	中国語（繁体）	クロアチア語	チェコ語	デンマーク語	オランダ語	エストニア語	フィンランド語	フランス語	ガリシア語	グルジア語	ドイツ語	ギリシャ語	グジャラト語	ヘブライ語	ヒンディー語	ハンガリー語	アイスランド語	インドネシア語	イタリア語	日本語	カンナダ語	カザフ語	クメール語	韓国語	キルギス語	ラオ語	ラトビア語	リトアニア語	マケドニア語	マレー語	マラヤーラム文字	マラーティー語	モンゴル語	ミャンマー語（ビルマ語）	ネパール語	ノルウェー語	オリヤ語	パシュト語	ペルシャ語	ポーランド語	ポルトガル語（ポルトガル、ブラジル）	パンジャブ語	ルーマニア語	ロシア語	セルビア語	シンハラ語	スロバキア語	スロベニア語	スペイン語	スワヒリ語	スウェーデン語	タガログ語（フィリピン語）	タミル語	テルグ語	タイ語	トルコ語	ウクライナ語	ウルドゥー語	ウズベク語	ベトナム語	ズールー語
ページ	日本語の本文	jsonProperty	en	en	af	sq	am	ar	hy	az	eu	be	bn	bs	bg	ca	zh	zh-CN	zh-TW	hr	cs	da	nl	et	fi	fr	gl	ka	de	el	gu	he	hi	hu	is	id	it	ja	kn	kk	km	ko	ky	lo	lv	lt	mk	ms	ml	mr	mn	my	ne	no	or	ps	fa	pl	pt	pa	ro	ru	sr	si	sk	sl	es	sw	sv	tl	ta	te	th	tr	uk	ur	uz	vi	zu
タイトル	パラパラ漫画	flipbook	Flipbook	Flipbook	Flipboek	Libër me shirita	መጭመቂያ መጽሐፍ	فليبوك	Շոշափել	Flipbook	Fitxa	Фліп кніг	উল্টানো বই	Flipbook	Flipbook	Flipbook	翻盖	翻盖	翻蓋	Okrenuti knjigu	Flipbook	Flipbook	Flipbook	Flipbook	Fripbook	Flipbook	Flipbook	Flipbook	Daumenkino	Αναστολέα	ફ્લિપબુક	ספר פליפ	फ्लिप किताब	Kócáskönyv	Flipbook	Flipbook	Libro pieghevole	パラパラ漫画	ನೂಲುಬುಕಲು	Флипсика	បកសឺវីស	플립 북	Flipbook	Flipbook	Flipbook	„Flipbook“	Flipbook	Flipbook	ഫ്ലിപ്പ്ബുക്ക്	फ्लिपबुक	Эргэлтийн зураг	အဘယ်အရာ	फ्लफबुक	Flipbook	ଫ୍ଲିପବୁକ୍	فلیپ کتاب	کتاب	Flipbook	FlipBook	ਫਲਿੱਪਬੁੱਕ	Flipbook	Flipbook	Флипбоок	ෆ්ලිප්බුක්	Flipbook	Flipbook	Flipbook	Flipbook	Blädderbok	Flipbook	புத்தகத்தை திருப்பி வைக்கவும்	ఫ్లిప్‌బుక్	สมุดรายชื่อ	Flipbook	Фліп -книжник	فلپ بک	Fliplav	Flipbook	Incwadi edliwayo
本のリスト	このプロジェクトを削除しますか？	deleteFlipbook	Do you want to delete this Flipbook?	Do you want to delete this Flipbook?	Wil u hierdie flipboek uitvee?	A doni ta fshini këtë flipbook?	ይህንን የመጭመቂያ መጽሐፍት መሰረዝ ይፈልጋሉ?	هل تريد حذف هذا الكتاب؟	Do անկանում եք ջնջել այս Flipbook- ը:	Bu flipbook silmək istəyirsiniz?	Flipbook hau ezabatu nahi al duzu?	Вы хочаце выдаліць гэты FlipBook?	আপনি কি এই ফ্লিপবুকটি মুছতে চান?	Želite li izbrisati ovaj flipbook?	Искате ли да изтриете този флипбук?	Voleu suprimir aquest flipbook?	您想删除这本翻译书吗？	您想删除这本翻译书吗？	您想刪除這本翻譯書嗎？	Želite li izbrisati ovaj flipbook?	Chcete tento flipbook smazat?	Vil du slette denne flipbog?	Wil je dit flipbook verwijderen?	Kas soovite selle flipbooki kustutada?	Haluatko poistaa tämän flipbook?	Voulez-vous supprimer ce flipbook?	¿Queres eliminar este flipbook?	გსურთ წაშალოთ ეს flipbook?	Möchten Sie dieses Flipbook löschen?	Θέλετε να διαγράψετε αυτό το flipbook;	શું તમે આ ફ્લિપબુક કા delete ી નાખવા માંગો છો?	האם אתה רוצה למחוק את ספר ההפליא הזה?	क्या आप इस फ्लिपबुक को हटाना चाहते हैं?	Szeretné törölni ezt a flipbookot?	Viltu eyða þessari flipbook?	Apakah Anda ingin menghapus flipbook ini?	Vuoi eliminare questo flipbook?	このプロジェクトを削除しますか？	ಈ ಫ್ಲಿಪ್‌ಬುಕ್ ಅನ್ನು ಅಳಿಸಲು ನೀವು ಬಯಸುವಿರಾ?	Сіз бұл флипбукты жойғыңыз келе ме?	តើអ្នកចង់លុបសៀវភៅត្រឡប់នេះទេ?	이 플립 북을 삭제 하시겠습니까?	Бул флипт китепти жок кылгыңыз келеби?	ທ່ານຕ້ອງການລຶບ Flipbook ນີ້ບໍ?	Vai vēlaties izdzēst šo flipbook?	Ar norite ištrinti šią „flipbook“?	Дали сакате да го избришете овој флип -книга?	Adakah anda mahu memadamkan buku ini?	ഈ ഫ്ലിപ്പ്ബുക്ക് ഇല്ലാതാക്കാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുണ്ടോ?	आपण हे फ्लिपबुक हटवू इच्छिता?	Та энэ флипкийг устгахыг хүсч байна уу?	ဒီ flipbook ကိုသင်ဖျက်ချင်ပါသလား။	के तपाइँ यस फ्लिपबुक मेटाउन चाहानुहुन्छ?	Vil du slette denne flipbooken?	ଆପଣ ଏହି ଫ୍ଲିପ୍ ବୁକ୍ ବିଲୋପ କରିବାକୁ ଚାହୁଁଛନ୍ତି କି?	ایا تاسو غواړئ دا فلیپ کتاب حذف کړئ؟	آیا می خواهید این flipbook را حذف کنید؟	Chcesz usunąć ten flipbook?	Você quer excluir este flipbook?	ਕੀ ਤੁਸੀਂ ਇਸ ਫਲਿੱਪਬੁੱਕ ਨੂੰ ਮਿਟਾਉਣਾ ਚਾਹੁੰਦੇ ਹੋ?	Vrei să ștergi acest flipbook?	Вы хотите удалить этот Flipbook?	Да ли желите да избришете овај Флипбоок?	ඔබට මෙම ෆ්ලිප්බුක් මකා දැමීමට අවශ්යද?	Chcete odstrániť tento flipbook?	Ali želite izbrisati ta flipbook?	¿Quieres eliminar este flipbook?	Je! Unataka kufuta kitabu hiki?	Vill du ta bort den här flipbooken?	Nais mo bang tanggalin ang flipbook na ito?	இந்த ஃபிளிபுக்கை நீக்க விரும்புகிறீர்களா?	మీరు ఈ ఫ్లిప్‌బుక్‌ను తొలగించాలనుకుంటున్నారా?	คุณต้องการลบ flipbook นี้หรือไม่?	Bu flipbook'u silmek ister misiniz?	Ви хочете видалити цю фліп -книжку?	کیا آپ اس فلپ بک کو حذف کرنا چاہتے ہیں؟	Ushbu flipkushni o'chirmoqchimisiz?	Bạn có muốn xóa cuốn sách này không?	Ngabe ufuna ukususa le-Flipbook?
	ロード中	loading	Loading...	Loading...	Laai ...	Duke u ngarkuar ...	በመጫን ላይ ...	تحميل...	Բեռնում ...	Yükləmə ...	Kargatzen ...	Загрузка ...	লোড হচ্ছে ...	Učitavanje...	Зареждане...	Carregant ...	加载...	加载...	加載...	Učitavam...	Načítání...	Indlæser...	Bezig met laden...	Laadimine ...	Ladataan...	Chargement...	Cargando ...	Ჩატვირთვა...	Wird geladen...	Φόρτωση...	લોડ કરી રહ્યું છે ...	טוען...	लोड हो रहा है...	Betöltés...	Hleðsla ...	Memuat...	Caricamento...	ロード中	ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ ...	Жүктеу ...	កំពុងផ្ទុក ...	로딩 ...	Жүктөө ...	ກໍາລັງໂຫລດ ...	Iekraušana ...	Pakrovimas ...	Вчитување ...	Memuatkan ...	ലോഡിംഗ്...	लोड करीत आहे ...	Ачаалах ...	တင် ...	लोड गर्दै ...	Laster ...	ଲୋଡିଂ ...	بارول ...	بارگذاری...	Ładowanie...	Carregando...	ਲੋਡ ਹੋ ਰਿਹਾ ਹੈ ...	Se încarcă...	Загрузка ...	Учитавање ...	පැටවීම ...	Načítava...	Nalaganje...	Cargando...	Inapakia ...	Läser in...	Naglo -load ...	ஏற்றுகிறது ...	లోడ్...	กำลังโหลด ...	Yükleniyor...	Завантаження ...	لوڈنگ ...	Yuklash ...	Đang tải...	Iyalayisha ...
	削除	delete	Delete	Delete	Verwyder	Nxjerr	ሰርዝ	يمسح	Ջնջել	Silmək	Ezabatu	Выдаляць	মুছে ফেলা	Izbrisati	Изтрий	Esborrar	删除	删除	刪除	Izbrisati	Vymazat	Slet	Verwijderen	Kustutama	Poistaa	Supprimer	Eliminar	წაშლა	Löschen	Διαγράφω	કા delી નાખવું	לִמְחוֹק	मिटाना	Töröl	Eyða	Menghapus	Eliminare	削除	ಅಳಿಸು	Жою	របៅបេលរសច	삭제	Жок кылуу	ລົບ	Dzēst	Ištrinti	Избриши	Padam	ഇല്ലാതാക്കുക	हटवा	Эдгээх	ဖျက်	मेटाउन	Slett	ବିଲୋପ କରନ୍ତୁ |	حذف کول	حذف	Usuwać	Excluir	ਮਿਟਾਓ	Șterge	Удалить	Избрисати	මකන්න	Vymazať	Izbrisati	Borrar	Futa	Radera	Tanggalin	அழி	తొలగించు	ลบ	Silmek	Видаляти	حذف کریں	O'chirmoq	Xóa bỏ	Cisha
	キャンセル	cancel	Cancel	Cancel	Kanselleer	Anuloj	ይቅር	يلغي	Չեղարկել	Ləğv etmək	Indargabetu	Ануляваць	বাতিল	Otkazati	Отказ	Cancel · lar	取消	取消	取消	Otkazati	zrušení	Afbestille	Annuleren	Tühistama	Peruuttaa	Annuler	Cancelar	გაუქმება	Stornieren	Ματαίωση	રદ કરવું	לְבַטֵל	रद्द करना	Megszünteti	Hætta við	Membatalkan	Annulla	キャンセル	ರದ್ದುಮಾಡು	Күшін жою	លប់ចោល	취소	Жокко чыгаруу	ຍົກເລີກ	Atcelt	Atšaukti	Откажи	Batalkan	റദ്ദാക്കുക	रद्द करा	Цуаах	ပျက်စေ	रद्द गर्नु	Avbryt	ବାତିଲ୍ କରନ୍ତୁ |	لغوه کول	لغو کردن	Anulować	Cancelar	ਰੱਦ ਕਰੋ	Anulare	Отмена	Поништити, отказати	අවලංගු කරන්න	Zrušiť	Odpovedati	Cancelar	Ghairi	Annullera	Kanselahin	ரத்துசெய்	రద్దు చేయండి	ยกเลิก	İptal etmek	Скасувати	منسوخ کریں	Bekor qilmoq	Hủy bỏ	Hlikihla
編集画面	ダウンロード	download	Download	Download	Aflaai	Shkarko	አውርድ	تحميل	Ներբեռնեք	Download	Desengopen	Загрузка	ডাউনলোড	Skinuti	Изтегли	descarregar	下载	下载	下載	preuzimanje datoteka	Stažení	Hent	Downloaden	Lae alla	ladata	Télécharger	Descargar	ჩამოტვირთვა	Herunterladen	Κατεβάστε	ડાઉનલોડ કરવું	הורד	डाउनलोड करना	Letöltés	Sækja	Unduh	Scaricamento	ダウンロード	ಡೌನ್‌ಲೋಡ್	Сайлау	របចាបរេកា	다운로드	Жүктөө	ດາວໂຫລດ	Lejupielādēt	parsisiųsti	Преземете	Muat turun	ഡൗൺലോഡ്	डाउनलोड करा	Татаж авах	ဒေါက်ဒေါင်း	डाउनलोड गर्नुहोस्	nedlasting	ଡାଉନଲୋଡ୍ କରନ୍ତୁ |	ډاونلوډ	دانلود	Pobierać	Download	ਡਾਉਨਲੋਡ ਕਰੋ	Descarca	Скачать	Преузимање	බාගත	Stiahnuť ▼	Prenesi	Descargar	Pakua	Ladda ner	I -download	பதிவிறக்க Tamil	డౌన్‌లోడ్	การดาวน์โหลด	İndirmek	Завантажувати	ڈاؤن لوڈ کریں	Yuklab olish	Tải xuống	Thwebula
	フリップアニメーション	flipAnimation	Flip Animation	Flip Animation	Flip animasie	Animacion	አኒሜሽን	انقلب الرسوم المتحركة	Մնաց անիմացիա	Flip animasiya	Flip Animation	Фліп -анімацыя	ফ্লিপ অ্যানিমেশন	Flip animacija	Флип анимация	Flip Animation	翻转动画	翻转动画	翻轉動畫	Flip animacija	Animace převrácení	Flip Animation	Flip -animatie	Klapp -animatsioon	Kääntöanimaatio	Flip animation	Animación flip	Flip ანიმაცია	Flip -Animation	Animation flip	ફ્લિપ એનિમેશન	אנימציה הפוך	फ्लिप एनीमेशन	Flip animáció	FLIP FYRIRTÆKI	Balik animasi	Flip Animation	フリップアニメーション	ತಿರುಗಿ	Флип-анимация	ត្រឡប់ចលនា	플립 애니메이션	Flip Animation	ພິກມພາບເຄື່ອນໄຫວ	Flip animācija	„Flip“ animacija	Флип анимација	Animasi flip	ഫ്ലിപ്പ് ആനിമേഷൻ	फ्लिप अ‍ॅनिमेशन	Шилжих хөдөлгөөнт дүрс	flip ကာတွန်း	फ्लिप एनिमेसन	Flip -animasjon	ଫ୍ଲିପ୍ ଆନିମେସନ୍	فلپ متحرک	انیمیشن تلنگر	Animacja Flip	Flip Animation	ਫਲਿਪ ਐਨੀਮੇਸ਼ਨ	Flip Animation	Flip Animation	Флип анимација	සජීවිකරණය	Animácia	Flip animacija	Animación de flip	Uhuishaji wa Flip	Vända animering	Flip Animation	அனிமேஷன் புரட்டுகிறது	ఫ్లిప్ యానిమేషన్	อนิเมชั่นพลิก	Flip Animation	Фліп -анімація	پلٹائیں حرکت پذیری	Flip animatsiya	Lật hoạt hình	Izithombe ze-Flip
	プレビュー	preview	Preview	Preview	Voorskou	Vrojtim	ቅድመ-እይታ	معاينة	Նախադիտում	Önizləmə	Aurrerapen	Папярэдні прагляд	পূর্বরূপ	Pregled	Визуализация	Vista prèvia	预览	预览	預覽	Pregled	Náhled	Preview	Voorbeeld	Eelvaade	Esikatselu	Aperçu	Vista previa	ანონსი	Vorschau	Προεπισκόπηση	પૂર્વદર્શન	תצוגה מקדימה	पूर्व दर्शन	Előnézet	Forsýning	Pratinjau	Anteprima	プレビュー	ಮುನ್ನೋಟ	Алдын-ала қарау	បុរេតសសន៍	시사	Алдын ала көрүү	ການສະແດງຕົວຢ່າງ	Priekšskatījums	Peržiūra	Преглед	Pratonton	പിവു	पूर्वावलोकन	Киноны урөдчилсан үзлэг	တင်ကူးသိမြင်	पुर्व अवलोकन	Forhåndsvisning	ପୂର୍ବାବଲୋକନ	مخلید	پیش نمایش	Zapowiedź	Visualização	ਝਲਕ	previzualizare	Предварительный просмотр	Преглед	පෙරදසුන	Náhľad	Predogled	Avance	Hakikisho	Förhandsvisning	Preview	முன்னோட்ட	ప్రివ్యూ	ดูตัวอย่าง	Ön izleme	Попередній перегляд	پیش نظارہ	Oldindan ko'rish	Xem trước	Ukukhombisa umdlalo ngaphambi kokuthi ubonwe ngabantu bonke
	フリップスピード	flipSpeed	Flip Speed	Flip Speed	Flipsnelheid	Shpejtësi	የፍጥነት ፍጥነት	سرعة الوجه	Մատով խփել արագություն	Sürüşmək	Irauli abiadura	Хуткасць перавярніце	ফ্লিপ গতি	Brzina prelaska	Флип скорост	Velocitat	翻转速度	翻转速度	翻轉速度	Brzina okretanja	Rychlost převrácení	Vend hastighed	Omslagsnelheid	Klappkiirus	Kääntönopeus	Se retourner	Velocidade	ფლიპის სიჩქარე	Flip-Geschwindigkeit	Ταχύτατη ταχύτητα	ફ્લિપ ગતિ	מהירות הפוך	चपटा गति	Flipsebesség	Fletta hraða	Kecepatan balik	Velocità di lancio	フリップスピード	ತಿರುಗಿ	Жылдамдық	ល្បឿនត្រឡប់	플립 속도	Flip Speed	ພິກຄວາມໄວ	Uzsist ātrumu	Flip greitis	Брзина на флип	Kelajuan flip	ഫ്ലിപ്പ് വേഗത	फ्लिप वेग	Урсгал хурд	မြန်နှုန်းမြန်နှုန်း	फ्लिप गति	Vend hastighet	ଫ୍ଲିପ୍ ବେଗ |	فلیپ سرعت	سرعت تلنگر	Prędkość odwrócenia	Velocidade de flip	ਫਲਿੱਪ ਸਪੀਡ	Viteza de flip	Переворачивать скорость	Брзина окретања	පෙරළීම	Rýchlosť	Hitrost	Velocidad de flip	Kasi ya Flip	Vända hastighet	Bilis ng flip	புரட்ட வேகத்தை	ఫ్లిప్ స్పీడ్	ความเร็วพลิก	Flip hızı	Швидкість фліп	پلٹائیں کی رفتار	Flip tezligi	Tốc độ lật	Ijubane le-Flip
